Sample,ACCUMULATION_LEVEL,READS_USED,GC,WINDOWS,READ_STARTS,MEAN_BASE_QUALITY,NORMALIZED_COVERAGE,ERROR_BAR_WIDTH,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO028,All Reads,UNIQUE,5,169310,42,10,0.00818,0.001262,,,
CAP41WGS_MO028,All Reads,UNIQUE,6,190654,63,9,0.010896,0.001373,,,
CAP41WGS_MO028,All Reads,UNIQUE,7,204746,110,10,0.017716,0.001689,,,
CAP41WGS_MO028,All Reads,UNIQUE,8,232995,151,10,0.02137,0.001739,,,
CAP41WGS_MO028,All Reads,UNIQUE,9,259590,186,10,0.023627,0.001732,,,
CAP41WGS_MO028,All Reads,UNIQUE,10,302920,285,10,0.031024,0.001838,,,
CAP41WGS_MO028,All Reads,UNIQUE,11,368095,416,9,0.037266,0.001827,,,
CAP41WGS_MO028,All Reads,UNIQUE,26,46511797,213277,9,0.151203,0.000327,,,
CAP41WGS_MO028,All Reads,UNIQUE,12,476417,554,9,0.038344,0.001629,,,
CAP41WGS_MO028,All Reads,UNIQUE,14,882957,1151,9,0.042985,0.001267,,,
CAP41WGS_MO028,All Reads,UNIQUE,16,1934534,2747,10,0.046823,0.000893,,,
CAP41WGS_MO028,All Reads,UNIQUE,17,2903580,4406,10,0.050037,0.000754,,,
CAP41WGS_MO028,All Reads,UNIQUE,18,4351124,7630,10,0.057823,0.000662,,,
CAP41WGS_MO028,All Reads,UNIQUE,19,6421186,12810,9,0.065783,0.000581,,,
CAP41WGS_MO028,All Reads,UNIQUE,20,9272096,20450,9,0.072727,0.000509,,,
CAP41WGS_MO028,All Reads,UNIQUE,21,13036310,32183,9,0.081405,0.000454,,,
CAP41WGS_MO028,All Reads,UNIQUE,22,17792869,49726,9,0.092155,0.000413,,,
CAP41WGS_MO028,All Reads,UNIQUE,23,23610800,74577,9,0.104154,0.000381,,,
CAP41WGS_MO028,All Reads,UNIQUE,24,30464428,109317,9,0.118325,0.000358,,,
CAP41WGS_MO028,All Reads,UNIQUE,13,625571,721,9,0.038005,0.001415,,,
CAP41WGS_MO028,All Reads,UNIQUE,50,67632983,2911210,6,1.419369,0.000832,,,
CAP41WGS_MO028,All Reads,UNIQUE,74,1450253,304898,5,6.932518,0.012555,,,
CAP41WGS_MO028,All Reads,UNIQUE,52,57747767,2793857,6,1.595325,0.000954,,,
CAP41WGS_MO028,All Reads,UNIQUE,80,607258,87561,5,4.75464,0.016068,,,
CAP41WGS_MO028,All Reads,UNIQUE,81,510873,67702,4,4.369872,0.016795,,,
CAP41WGS_MO028,All Reads,UNIQUE,82,429147,51400,4,3.949456,0.01742,,,
CAP41WGS_MO028,All Reads,UNIQUE,83,353190,36888,4,3.443951,0.017931,,,
CAP41WGS_MO028,All Reads,UNIQUE,84,276592,25899,4,3.087618,0.019186,,,
CAP41WGS_MO028,All Reads,UNIQUE,85,201005,16835,4,2.761763,0.021285,,,
CAP41WGS_MO028,All Reads,UNIQUE,86,134431,10290,4,2.524039,0.024882,,,
CAP41WGS_MO028,All Reads,UNIQUE,87,88181,6501,4,2.431002,0.030151,,,
CAP41WGS_MO028,All Reads,UNIQUE,88,60854,4106,4,2.224898,0.034722,,,
CAP41WGS_MO028,All Reads,UNIQUE,89,39446,2241,4,1.873351,0.039573,,,
CAP41WGS_MO028,All Reads,UNIQUE,90,25762,1374,4,1.758682,0.047445,,,
CAP41WGS_MO028,All Reads,UNIQUE,91,16609,925,4,1.836447,0.060382,,,
CAP41WGS_MO028,All Reads,UNIQUE,92,9922,557,4,1.851127,0.078435,,,
CAP41WGS_MO028,All Reads,UNIQUE,93,6255,393,5,2.071789,0.104508,,,
CAP41WGS_MO028,All Reads,UNIQUE,94,3553,413,6,3.832967,0.188608,,,
CAP41WGS_MO028,All Reads,UNIQUE,95,1701,520,8,10.080434,0.442056,,,
CAP41WGS_MO028,All Reads,UNIQUE,96,986,350,9,11.704997,0.625658,,,
CAP41WGS_MO028,All Reads,UNIQUE,97,658,1002,10,50.213677,1.58631,,,
CAP41WGS_MO028,All Reads,UNIQUE,98,328,1371,10,137.830016,3.722417,,,
CAP41WGS_MO028,All Reads,UNIQUE,100,339,1,5,0.09727,0.09727,,,
CAP41WGS_MO028,All Reads,UNIQUE,1,100510,14,8,0.004593,0.001228,,,
CAP41WGS_MO028,All Reads,UNIQUE,79,712822,112557,5,5.206809,0.01552,,,
CAP41WGS_MO028,All Reads,UNIQUE,78,817829,139960,5,5.64315,0.015084,,,
CAP41WGS_MO028,All Reads,UNIQUE,77,919915,169527,5,6.07675,0.014759,,,
CAP41WGS_MO028,All Reads,UNIQUE,76,1047677,204633,5,6.440632,0.014238,,,
CAP41WGS_MO028,All Reads,UNIQUE,53,53057696,2726692,6,1.694603,0.001026,,,
CAP41WGS_MO028,All Reads,UNIQUE,54,48882375,2653383,6,1.789896,0.001099,,,
CAP41WGS_MO028,All Reads,UNIQUE,55,45201564,2580584,6,1.882542,0.001172,,,
CAP41WGS_MO028,All Reads,UNIQUE,56,41654980,2501606,6,1.980305,0.001252,,,
CAP41WGS_MO028,All Reads,UNIQUE,57,37884218,2411504,6,2.098988,0.001352,,,
CAP41WGS_MO028,All Reads,UNIQUE,58,33727560,2323091,6,2.271232,0.00149,,,
CAP41WGS_MO028,All Reads,UNIQUE,59,29225947,2220706,6,2.505548,0.001681,,,
